Date,Open,High,Low,Close,Adj Close,Volume
2020-10-26,59.680000,60.480000,58.240002,59.040001,58.604645,13031800
2020-10-27,59.200001,59.200001,56.720001,56.799999,56.381161,12271250
2020-10-28,60.080002,62.880001,59.279999,59.360001,58.922287,31686763
2020-10-29,61.279999,61.919998,58.480000,58.959999,58.525234,15412250
2020-10-30,58.720001,60.320000,58.320000,59.360001,58.922287,12796263
2020-11-02,60.000000,60.639999,58.639999,60.160000,59.716381,13609788
2020-11-03,61.200001,63.360001,60.320000,62.799999,62.336914,12234063
2020-11-04,61.520000,64.160004,60.240002,62.799999,62.336914,15865638
2020-11-05,63.599998,64.400002,63.279999,63.919998,63.448662,10725850
2020-11-06,64.160004,65.120003,63.680000,64.720001,64.242752,10515688
2020-11-09,74.800003,75.279999,68.879997,69.760002,69.245590,24160338
2020-11-10,70.559998,72.800003,70.000000,71.839996,71.310249,20591700
2020-11-11,72.879997,72.959999,70.639999,71.120003,70.595558,10930000
2020-11-12,70.080002,70.959999,69.360001,70.080002,69.563232,9939800
2020-11-13,70.879997,74.000000,70.800003,74.000000,73.454330,16247538
2020-11-16,76.879997,77.120003,75.360001,76.559998,75.995445,14846500
2020-11-17,75.599998,77.919998,74.639999,77.440002,76.868958,11293575
2020-11-18,79.760002,80.400002,77.839996,77.839996,77.266014,18608225
2020-11-19,76.959999,78.080002,76.080002,77.279999,76.710136,10897188
2020-11-20,77.120003,78.639999,76.720001,78.080002,77.504250,10016938
2020-11-23,78.879997,82.160004,78.879997,80.559998,79.965942,13524663
2020-11-24,85.680000,86.800003,83.199997,83.599998,82.983536,22036100
2020-11-25,84.239998,84.480003,82.720001,84.000000,83.380585,13734113
2020-11-27,84.400002,84.480003,82.480003,83.199997,82.586479,6769350
2020-11-30,83.120003,83.120003,79.680000,81.440002,80.839462,15638013
2020-12-01,82.639999,83.839996,80.879997,81.199997,80.601227,10845888
2020-12-02,80.639999,83.839996,80.080002,83.440002,82.824722,9654450
2020-12-03,83.199997,85.599998,83.120003,84.800003,84.174690,11431613
2020-12-04,85.360001,87.440002,84.080002,87.040001,86.398170,16877613
2020-12-07,87.120003,88.800003,86.080002,86.879997,86.239365,12175500
2020-12-08,86.559998,88.239998,86.320000,87.680000,87.033463,11672288
2020-12-09,88.000000,91.919998,88.000000,91.120003,90.448082,15766938
2020-12-10,88.639999,91.839996,88.480003,90.559998,89.892220,11958950
2020-12-11,90.239998,91.279999,88.160004,89.279999,88.621651,11123213
2020-12-14,90.160004,90.800003,86.320000,86.639999,86.001122,9914688
2020-12-15,87.599998,89.199997,85.199997,88.879997,88.224602,10826738
2020-12-16,89.040001,89.199997,87.199997,87.440002,86.795227,7351975
2020-12-17,87.519997,87.919998,86.400002,87.040001,86.398170,7805750
